Date,Close
01/12/2022,318.57
02/12/2022,318.67
05/12/2022,319.11
06/12/2022,328.88
07/12/2022,328.98
08/12/2022,328.98
09/12/2022,328.98
12/12/2022,322.35
13/12/2022,323.36
14/12/2022,322.7
15/12/2022,320.1
16/12/2022,320.1
19/12/2022,320.89
20/12/2022,325.01
21/12/2022,322.87
22/12/2022,324.25
23/12/2022,325.71
26/12/2022,327.62
27/12/2022,335.39
28/12/2022,331.63
29/12/2022,334.36
30/12/2022,327.94
02/01/2023,329.21
03/01/2023,330.7
04/01/2023,334.93
05/01/2023,332.67
06/01/2023,329.91
09/01/2023,327.17
10/01/2023,325.87
11/01/2023,327.7
12/01/2023,342.38
13/01/2023,340.23
16/01/2023,344.03
17/01/2023,341.89
18/01/2023,340.3
19/01/2023,332.83
20/01/2023,352.52
23/01/2023,352.21
24/01/2023,353.85
25/01/2023,351.98
26/01/2023,352.22
27/01/2023,352.78
30/01/2023,353.93
31/01/2023,354.81
01/02/2023,353.7
02/02/2023,354.75
03/02/2023,357.36
06/02/2023,353.94
07/02/2023,353.2
08/02/2023,354.95
09/02/2023,354.36
10/02/2023,354.15
13/02/2023,355.27
14/02/2023,355.28
15/02/2023,356.23
16/02/2023,357.61
17/02/2023,355.59
20/02/2023,355.59
21/02/2023,355.59
22/02/2023,356.45
23/02/2023,357.26
24/02/2023,356.78
27/02/2023,356.07
28/02/2023,357.47
01/03/2023,359.78
02/03/2023,364.81
03/03/2023,366.5
06/03/2023,362.42
07/03/2023,366.97
08/03/2023,372.86
09/03/2023,375.43
10/03/2023,380.64
13/03/2023,379.51
14/03/2023,377.76
15/03/2023,383.31
16/03/2023,388.76
17/03/2023,388.84
20/03/2023,387.63
21/03/2023,385.98
22/03/2023,387.1
23/03/2023,375.72
24/03/2023,375.72
27/03/2023,376.4
28/03/2023,383.55
29/03/2023,386.81
30/03/2023,391.82
31/03/2023,397.37
03/04/2023,396.94
04/04/2023,402.41
05/04/2023,396.6
06/04/2023,396.6
07/04/2023,396.6
10/04/2023,390.71
11/04/2023,387
12/04/2023,386.34
13/04/2023,388.14
14/04/2023,398.62
17/04/2023,395.45
18/04/2023,408.86
19/04/2023,409.77
20/04/2023,421.9
21/04/2023,437.75
24/04/2023,449.02
25/04/2023,447.5
26/04/2023,446.43
27/04/2023,442.23
28/04/2023,436.05
01/05/2023,436.05
02/05/2023,428.84
03/05/2023,431.03
04/05/2023,430.19
05/05/2023,432.35
08/05/2023,432.08
09/05/2023,432.08
10/05/2023,436.09
11/05/2023,440.07
12/05/2023,434.31
15/05/2023,437.66
16/05/2023,442.43
17/05/2023,444.08
18/05/2023,473.5
19/05/2023,465.42
22/05/2023,464.27
23/05/2023,466.09
24/05/2023,462.35
25/05/2023,459.55
26/05/2023,459.55
29/05/2023,459.51
30/05/2023,462.32
31/05/2023,466.98
01/06/2023,467.03
02/06/2023,469.09
05/06/2023,472.29
06/06/2023,473.87
07/06/2023,472.76
08/06/2023,473.92
09/06/2023,473.5
12/06/2023,474.49
13/06/2023,473.19
14/06/2023,474.98
15/06/2023,474.59
16/06/2023,479.35
19/06/2023,479.35
20/06/2023,479.35
21/06/2023,476.46
22/06/2023,482.51
23/06/2023,486.66
26/06/2023,479.79
27/06/2023,483.43
28/06/2023,484.01
29/06/2023,482.23
30/06/2023,484.69
03/07/2023,483.45
04/07/2023,482.9
05/07/2023,480.37
06/07/2023,484.68
07/07/2023,484.78
10/07/2023,490.4
11/07/2023,488.64
12/07/2023,488.65
13/07/2023,498.73
14/07/2023,499.71
17/07/2023,499.86
18/07/2023,494.9
19/07/2023,494.65
20/07/2023,495.84
21/07/2023,498.08
24/07/2023,497.09
25/07/2023,507.12
26/07/2023,503.9
27/07/2023,510.62
28/07/2023,508.01
31/07/2023,509.1
01/08/2023,509.45
02/08/2023,512.54
03/08/2023,513.99
04/08/2023,514.71
07/08/2023,516.7
08/08/2023,521.92
09/08/2023,527.92
10/08/2023,529.82
11/08/2023,539.89
14/08/2023,621.14
15/08/2023,667.17
16/08/2023,651.42
17/08/2023,659.49
18/08/2023,657.48
21/08/2023,657.48
22/08/2023,658.88
23/08/2023,661.32
24/08/2023,665.4
25/08/2023,664.97
28/08/2023,667.95
29/08/2023,671.02
30/08/2023,670.99
31/08/2023,670.83
01/09/2023,670.37
04/09/2023,672.62
05/09/2023,672.34
06/09/2023,673.47
07/09/2023,674.84
08/09/2023,673.36
11/09/2023,675.54
12/09/2023,676.46
13/09/2023,676.32
14/09/2023,677.79
15/09/2023,678.68
18/09/2023,679.36
19/09/2023,680.08
20/09/2023,679.95
21/09/2023,680.85
22/09/2023,682.08
25/09/2023,683.01
26/09/2023,685.58
27/09/2023,689.85
28/09/2023,694.89
29/09/2023,701.01
02/10/2023,709.83
03/10/2023,720.62
04/10/2023,747.68
05/10/2023,784.83
06/10/2023,812.75
09/10/2023,840.01
10/10/2023,844.81
11/10/2023,854.74
12/10/2023,870.46
13/10/2023,870.46
16/10/2023,870.46
17/10/2023,884.82
18/10/2023,884.74
19/10/2023,888.6
20/10/2023,898.91
23/10/2023,899.33
24/10/2023,843.82
25/10/2023,872.31
26/10/2023,855.48
27/10/2023,806.84
30/10/2023,859.75
31/10/2023,852.85
01/11/2023,840.28
02/11/2023,863.64
03/11/2023,844.01
06/11/2023,844.01
07/11/2023,848.8
08/11/2023,840.97
09/11/2023,863.3
10/11/2023,881.71
13/11/2023,870.63
14/11/2023,868.42
15/11/2023,882.35
16/11/2023,857.14
17/11/2023,872.61
20/11/2023,872.61
21/11/2023,930.44
22/11/2023,984.19
23/11/2023,1006.39
24/11/2023,972.75
27/11/2023,889.15
28/11/2023,867.12
29/11/2023,838.16
30/11/2023,858.82
01/12/2023,907.69
04/12/2023,913.05
05/12/2023,934.71
06/12/2023,936.93
07/12/2023,986.37
08/12/2023,986.37
11/12/2023,993.53
12/12/2023,1011.46
13/12/2023,1037.29
14/12/2023,1003.94
15/12/2023,993.73
18/12/2023,963.22
19/12/2023,964.69
20/12/2023,946.47
21/12/2023,971.88
22/12/2023,954.23
25/12/2023,954.23
26/12/2023,939.7
27/12/2023,932.59
28/12/2023,950.24
29/12/2023,995
01/01/2024,995
02/01/2024,991.3
03/01/2024,1033.56
04/01/2024,1050.43
05/01/2024,1104.93
08/01/2024,1141.62
09/01/2024,1160.38
10/01/2024,1142.45
11/01/2024,1119.17
12/01/2024,1096.39
15/01/2024,1125.3
16/01/2024,1163.48
17/01/2024,1221.49
18/01/2024,1227.54
19/01/2024,1251.67
22/01/2024,1241.41
23/01/2024,1233.22
24/01/2024,1232.72
25/01/2024,1229.32
26/01/2024,1188.48
29/01/2024,1219.88
30/01/2024,1208.21
31/01/2024,1175.67
01/02/2024,1235.43
02/02/2024,1237.43
05/02/2024,1209.52
06/02/2024,1194.74
07/02/2024,1199.41
08/02/2024,1183.55
09/02/2024,1173.36
12/02/2024,1173.36
13/02/2024,1173.36
14/02/2024,1124.14
15/02/2024,1086.86
16/02/2024,1064.71
19/02/2024,1108.61
20/02/2024,1080.31
21/02/2024,1072.51
22/02/2024,1054.78
23/02/2024,1076.6
26/02/2024,1051.04
27/02/2024,1044.95
28/02/2024,1031.25
29/02/2024,1032.24
01/03/2024,1053.46
04/03/2024,1029.54
05/03/2024,1016.08
06/03/2024,981.21
07/03/2024,996.63
08/03/2024,1000.47
11/03/2024,980.98
12/03/2024,1036.19
13/03/2024,1012.01
14/03/2024,1015.67
15/03/2024,1027.63
18/03/2024,1023.89
19/03/2024,1032.36
20/03/2024,1042.43
21/03/2024,1036.25
22/03/2024,1036.16
25/03/2024,1012.94
26/03/2024,1027.09
27/03/2024,1016.09
28/03/2024,1016.09
29/03/2024,1016.09
01/04/2024,1016.09
02/04/2024,1016.09
03/04/2024,991.25
04/04/2024,996.25
05/04/2024,1000.88
08/04/2024,985.86
09/04/2024,1000.69
10/04/2024,999.64
11/04/2024,994.86
12/04/2024,1005.46
15/04/2024,1021.55
16/04/2024,1031.63
17/04/2024,1021.16
18/04/2024,1021.92
19/04/2024,1026.65
22/04/2024,1014.98
23/04/2024,1006.71
24/04/2024,1015.54
25/04/2024,1034.06
26/04/2024,1034.04
29/04/2024,1037.77
30/04/2024,1040.89
01/05/2024,1040.89
02/05/2024,1064.56
03/05/2024,1072.64
06/05/2024,1064.47
07/05/2024,1048.49
08/05/2024,1038.77
09/05/2024,1046.02
10/05/2024,1035.73
13/05/2024,1034.89
14/05/2024,1041.65
15/05/2024,1050.33
16/05/2024,1062.25
17/05/2024,1071.12
20/05/2024,1106.22
21/05/2024,1170.28
22/05/2024,1230.6
23/05/2024,1234.4
24/05/2024,1205.73
27/05/2024,1228.18
28/05/2024,1200.9
29/05/2024,1177.14
30/05/2024,1182.71
31/05/2024,1215.93
03/06/2024,1269.91
04/06/2024,1280.8
05/06/2024,1283.09
06/06/2024,1272.01
07/06/2024,1282.33
10/06/2024,1272.63
11/06/2024,1273.9
12/06/2024,1278.94
13/06/2024,1241.1
14/06/2024,1244.64
17/06/2024,1244.64
18/06/2024,1245.49
19/06/2024,1273.81
20/06/2024,1273.81
21/06/2024,1273.81
24/06/2024,1295.22
25/06/2024,1308.99
26/06/2024,1332.13
27/06/2024,1331.96
28/06/2024,1347.96
01/07/2024,1413.01
02/07/2024,1428.46
03/07/2024,1382.5
04/07/2024,1395.68
05/07/2024,1396.24
08/07/2024,1386.86
09/07/2024,1386.86
10/07/2024,1377.39
11/07/2024,1403.33
12/07/2024,1416.22
15/07/2024,1307.54
16/07/2024,1278.94
17/07/2024,1300
18/07/2024,1315.29
19/07/2024,1331.7
22/07/2024,1333.37
23/07/2024,1324.96
24/07/2024,1337.51
25/07/2024,1332.77
26/07/2024,1323.15
29/07/2024,1296.57
30/07/2024,1267.95
31/07/2024,1293.33
01/08/2024,1300.14
02/08/2024,1334.04
05/08/2024,1346.09
06/08/2024,1336.4
07/08/2024,1331.95
08/08/2024,1310.45
09/08/2024,1298.27
12/08/2024,1284.35
13/08/2024,1272.49
14/08/2024,1268.81
15/08/2024,1276.21
16/08/2024,1295.3
19/08/2024,1290.1
20/08/2024,1287.82
21/08/2024,1291.75
22/08/2024,1283.23
23/08/2024,1282.7
26/08/2024,1288.25
27/08/2024,1286.19
28/08/2024,1282.19
29/08/2024,1271.33
30/08/2024,1279.96
02/09/2024,1285.01
03/09/2024,1294.46
04/09/2024,1279.84
05/09/2024,1258.82
06/09/2024,1243.87
09/09/2024,1226.42
10/09/2024,1230.44
11/09/2024,1230.16
12/09/2024,1239.48
13/09/2024,1226.53
16/09/2024,1215.72
17/09/2024,1214.04
18/09/2024,1206.72
19/09/2024,1197.74
20/09/2024,1200.1
23/09/2024,1204.57
24/09/2024,1202.13
25/09/2024,1209.79
26/09/2024,1210.95
27/09/2024,1207.75
30/09/2024,1215.03
01/10/2024,1220.07
02/10/2024,1207.51
03/10/2024,1191.74
04/10/2024,1187.52
07/10/2024,1184.07
08/10/2024,1169.54
09/10/2024,1147.4
10/10/2024,1134.84
11/10/2024,1134.84
14/10/2024,1143.88
15/10/2024,1139.91
16/10/2024,1159.89
17/10/2024,1159.6
18/10/2024,1159.05
21/10/2024,1167.91
22/10/2024,1161.97
23/10/2024,1161.99
24/10/2024,1160
25/10/2024,1141.81
28/10/2024,1134.18
29/10/2024,1138.18
30/10/2024,1138.32
31/10/2024,1131.46
01/11/2024,1146.17
04/11/2024,1151.54
05/11/2024,1153.5
06/11/2024,1145.69
07/11/2024,1135.99
08/11/2024,1130.2
11/11/2024,1131.23
12/11/2024,1124.4
13/11/2024,1121.11
14/11/2024,1105.75
15/11/2024,1096.02
18/11/2024,1096.02
19/11/2024,1075.12
20/11/2024,1074.86
21/11/2024,1078.95
22/11/2024,1080.4
25/11/2024,1077.58
26/11/2024,1076.12
27/11/2024,1074.61
28/11/2024,1075.15
29/11/2024,1075.76
02/12/2024,1068.89
03/12/2024,1075.65
04/12/2024,1076.34
05/12/2024,1062.16
06/12/2024,1049.33
09/12/2024,1049.31
10/12/2024,1060.52
11/12/2024,1057.72
12/12/2024,1058.21
13/12/2024,1073.08
16/12/2024,1100.27
17/12/2024,1145.26
18/12/2024,1131.22
19/12/2024,1131.19
20/12/2024,1142.2
23/12/2024,1162.3
24/12/2024,1160.97
26/12/2024,1170.89
27/12/2024,1170.56
30/12/2024,1170.41
02/01/2025,1162.12
03/01/2025,1165.88
06/01/2025,1165.09
07/01/2025,1164.37
08/01/2025,1164.72
09/01/2025,1164.19
10/01/2025,1164.01
13/01/2025,1163.21
14/01/2025,1162.93
15/01/2025,1164.05
16/01/2025,1166.03
17/01/2025,1165.84
20/01/2025,1165.9
21/01/2025,1167.61
22/01/2025,1172.67
23/01/2025,1167.35
24/01/2025,1155.75
27/01/2025,1162.22
28/01/2025,1161.38
29/01/2025,1163.36
30/01/2025,1164.89
31/01/2025,1164.79
